dataset,ADMET
bioavailability,absorption
f20,absorption
f30,absorption
f50,absorption
ob,absorption
pampa_approved,absorption
bbb_logbb,distribution
bbbp,distribution
bcrp,distribution
oatp1b1,distribution
oatp1b3,distribution
t0.5,excretion
bace,metabolism
cyp1a2_substrate,metabolism
cyp2b6_inhibitor,metabolism
cyp2b6_substrate,metabolism
cyp2c19_substrate,metabolism
CYP2C8_Inhibition,metabolism
cyp2c9_substrate,metabolism
cyp2d6_substrate,metabolism
cyp3a4_substrate,metabolism
HLM_Stability,metabolism
oct2,metabolism
UGT_substrate,metabolism
ames,toxicity
avian_tox,toxicity
bee_tox,toxicity
biodegradation,toxicity
carcinogenicity,toxicity
Cardiotoxicity_Cardiotoxicity-1,toxicity
Cardiotoxicity_Cardiotoxicity-10,toxicity
Cardiotoxicity_Cardiotoxicity-30,toxicity
Cardiotoxicity_Cardiotoxicity-5,toxicity
Clinical_Toxicity_Clinical_toxicity,toxicity
clintox,toxicity
crustacean,toxicity
Developmental_and_Reproductive_Toxicity_Developmental_Toxicity,toxicity
dili,toxicity
eye_corrosion,toxicity
eye_irritation,toxicity
h_ht,toxicity
Hepatotoxicity_Hepatotoxicity,toxicity
micronucleus_tox,toxicity
nr_ahr,toxicity
nr_ar,toxicity
nr_ar_lbd,toxicity
nr_aromatase,toxicity
nr_er,toxicity
nr_er_lbd,toxicity
nr_gr,toxicity
nr_ppar_gamma,toxicity
nr_tr,toxicity
PAINS,toxicity
pgp_inhibitor,toxicity
pgp_substrate,toxicity
respiratory_tox,toxicity
RLM,toxicity
sr_are,toxicity
sr_atad5,toxicity
sr_hse,toxicity
sr_mmp,toxicity
sr_p53,toxicity
